Date,country,crypto,interest,country_code,iso3,name,region,lon,lat,Open,High,Low,Close,Volume,returns,log_returns,volatility_7d,volatility_30d,returns_squared,price_normalized
2020-10-18,US,Bitcoin,18,US,USA,United States,Americas,-77.0369,38.9072,11355.982421875,11483.359375,11347.578125,11483.359375,18283314340,0.011028058853915557,0.010967693217915127,0.010115616152724811,0.010115616152724811,0.0001216180820854253,0.001421455945360496
2020-10-25,US,Bitcoin,18,US,USA,United States,Americas,-77.0369,38.9072,13108.0634765625,13329.18359375,12910.0615234375,13031.173828125,24406920575,-0.0058657541398662305,-0.0058830252475124915,0.02730018645377758,0.022759670069836545,3.4407071629357825e-05,0.01506695434075777
2020-11-01,US,Bitcoin,19,US,USA,United States,Americas,-77.0369,38.9072,13780.9951171875,13862.033203125,13628.3779296875,13737.109375,24453857900,-0.003184511845067406,-0.003189593193523672,0.021866685706379493,0.021883527530359867,1.0141115691374613e-05,0.021290466695671004
2020-11-08,US,Bitcoin,21,US,USA,United States,Americas,-77.0369,38.9072,14833.75390625,15637.3203125,14744.1103515625,15479.5673828125,26632075029,0.04353675277640923,0.04261566759184631,0.04743709878525702,0.029770154392565317,0.0018954488423141764,0.036651938415778025
2020-11-15,US,Bitcoin,33,US,USA,United States,Americas,-77.0369,38.9072,16068.1396484375,16123.1103515625,15793.5341796875,15955.587890625,23653867583,-0.007004593596581565,-0.007029240926094911,0.019610275696578344,0.028953180431359728,4.906433145327147e-05,0.04084852481049564
2020-11-22,US,Bitcoin,34,US,USA,United States,Americas,-77.0369,38.9072,18642.232421875,18688.96875,17671.384765625,18370.001953125,41280434226,-0.014602889964538845,-0.014710561659748133,0.028009307803264504,0.029369596531621862,0.00021324439531642932,0.06213394642492198
2020-11-29,US,Bitcoin,33,US,USA,United States,Americas,-77.0369,38.9072,17719.634765625,18283.62890625,17559.1171875,18177.484375,31133957704,0.02596712538731971,0.025635704702410122,0.04300502546533411,0.03429390340212114,0.0006742916008807839,0.0604367156631297
2020-12-06,US,Bitcoin,25,US,USA,United States,Americas,-77.0369,38.9072,19154.1796875,19390.5,18897.89453125,19345.12109375,25293775714,0.009965977245154134,0.009916644389898553,0.04128076398966475,0.0344324583830241,9.932070245092997e-05,0.07073057546004641
2020-12-13,US,Bitcoin,41,US,USA,United States,Americas,-77.0369,38.9072,18806.765625,19381.53515625,18734.33203125,19142.3828125,25450468637,0.018013866983980886,0.01785353982728499,0.027890134537964104,0.0340330719095122,0.0003244994037165566,0.0689432392028503
2020-12-20,US,Bitcoin,39,US,USA,United States,Americas,-77.0369,38.9072,23861.765625,24209.66015625,23147.7109375,23477.294921875,37844228422,-0.01644490454985592,-0.016581622945616773,0.04003341792431876,0.03748917579650842,0.00027043488565387197,0.10715972963116892
